شناسه,نوع,شناسه محصول,نام,منتشر شده,ویژه است؟,کلاس مالیاتی,در انبار؟,انبار,قیمت اصلی,دسته‌ها,مادر,موقعیت قرارگیری,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,ویژگی پیشفرض,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,وزن,درازا (cm),پهنا (cm),بلندا (cm),Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global
4629,variable,31803,قمقمه کتابی کیفی,1,0,,1,,,لوازم پلاستیکی آشپزخانه < سایر لوازم آشپزخانه > قمقمه,,0,,,1,1,رنگ,قرمز,1,1,قرمز,brand,سرحد,1,1,60,8,3,21.5,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46291,variation,0031803-01,قمقمه کتابی کیفی - قرمز,1,0,parent,1,10,5400,,31803,1,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4631,variable,3331801,قمقمه سرحد مکعبی بزرگ,1,0,,1,,,لوازم پلاستیکی آشپزخانه < سایر لوازم آشپزخانه > قمقمه,,0,,,1,1,رنگ,"صورتی پاستیلی, آبی",1,1,صورتی پاستیلی,brand,سرحد,1,1,100,9,7,18,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46311,variation,3331801-01,قمقمه سرحد مکعبی بزرگ - صورتی پاستیلی,1,0,parent,1,10,22000,,3331801,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46312,variation,3331801-02,قمقمه سرحد مکعبی بزرگ - آبی,1,0,parent,1,10,22000,,3331801,2,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4632,variable,3331803,قمقمه سرحد میکی و انگری,1,0,,1,,,لوازم پلاستیکی آشپزخانه < سایر لوازم آشپزخانه > قمقمه,,0,,,1,1,رنگ,"صورتی پاستیلی, آبی",1,1,صورتی پاستیلی,brand,سرحد,1,1,5,6,6,13,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46321,variation,3331803-01,قمقمه سرحد میکی و انگری - صورتی پاستیلی,1,0,parent,1,10,27000,,3331803,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46322,variation,3331803-02,قمقمه سرحد میکی و انگری - آبی,1,0,parent,1,10,27000,,3331803,2,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4633,variable,3331804,قمقمه سرحد دکمه ای,1,0,,1,,,لوازم پلاستیکی آشپزخانه < سایر لوازم آشپزخانه > قمقمه,,0,,,1,1,رنگ,قرمز,1,1,قرمز,brand,سرحد,1,1,100,7.5,7.5,20,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46331,variation,3331804-01,قمقمه سرحد دکمه ای - قرمز,1,0,parent,1,10,22000,,3331804,1,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4643,variable,3355306,لیوان سرحد جادویی,1,0,,1,,,ظروف آشپزخانه و نگهدارنده > پارچ بطری لیوان,,0,,,1,1,رنگ,"صورتی پاستیلی, آبی",1,1,صورتی پاستیلی,brand,سرحد,1,1,100,8,8,12.5,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46431,variation,3355306-01,لیوان سرحد جادویی - صورتی پاستیلی,1,0,parent,1,10,22000,,3355306,1,رنگ,صورتی پاستیلی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46432,variation,3355306-02,لیوان سرحد جادویی - آبی,1,0,parent,1,10,22000,,3355306,2,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4645,simple,5423714,سطل لایف 14 کیلویی اکونومی,1,0,,1,10,152500,لوازم پلاستیکی آشپزخانه > سطل > زباله معمولی,5423714,0,,,1,1,رنگ,,1,1,,brand,×,1,1,,,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
4646,variable,728003,طناب 3 (10متری),1,0,,1,,,سایر لوازم خانگی > متفرقه > طناب,,0,,,1,1,رنگ,"آبی, سبز, قرمز, نارنجی",1,1,قرمز,brand,×,1,1,70,1000,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46461,variation,0728003-01,طناب 3 (10متری) - آبی,1,0,parent,1,10,4000,,728003,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46462,variation,0728003-02,طناب 3 (10متری) - سبز,1,0,parent,1,10,4000,,728003,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46463,variation,0728003-03,طناب 3 (10متری) - قرمز,1,0,parent,1,10,4000,,728003,3,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46464,variation,0728003-04,طناب 3 (10متری) - نارنجی,1,0,parent,1,10,4000,,728003,4,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4647,variable,728004,طناب 4 (10متری),1,0,,1,,,سایر لوازم خانگی > متفرقه > طناب,,0,,,1,1,رنگ,"آبی, سبز, قرمز, نارنجی",1,1,قرمز,brand,×,1,1,120,1000,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46471,variation,0728004-01,طناب 4 (10متری) - آبی,1,0,parent,1,10,5000,,728004,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46472,variation,0728004-02,طناب 4 (10متری) - سبز,1,0,parent,1,10,5000,,728004,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46473,variation,0728004-03,طناب 4 (10متری) - قرمز,1,0,parent,1,10,5000,,728004,3,رنگ,قرمز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46474,variation,0728004-04,طناب 4 (10متری) - نارنجی,1,0,parent,1,10,5000,,728004,4,رنگ,نارنجی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
4648,variable,728005,طناب 5 (10متری),1,0,,1,,,سایر لوازم خانگی > متفرقه > طناب,,0,,,1,1,رنگ,"آبی, سبز, قرمز, نارنجی",1,1,قرمز,brand,×,1,1,200,1000,,,ظرفیت,ˣ,1,1,جنس,پلاستیک,1,1,گارانتی,گارانتی اصالت و سلامت فیزیکی کالا,1,1
46481,variation,0728005-01,طناب 5 (10متری) - آبی,1,0,parent,1,10,7500,,728005,1,رنگ,آبی,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
46482,variation,0728005-02,طناب 5 (10متری) - سبز,1,0,parent,1,10,7500,,728005,2,رنگ,سبز,1,1,,,1,1,,,,1,1,,,,,,,1,1,,,1,1,,,1,1
